codgeo;nom;DEP;chomage;entrep;salary;DEP;;;;;;;;;;;;;
91600;Soisy-sur-Seine;20,8;6,8;331;20,8;91;;;;;;;;;;;;;
91617;Tigery;17,1;6,8;178;17,1;91;;;;;;;;;;;;;
91631;Varennes-Jarcy;20,3;6,8;239;20,3;91;;;;;;;;;;;;;
91635;Vauhallan;26,1;6,8;189;26,1;91;;;;;;;;;;;;;
91645;Verrières-le-Buisson;26,4;6,8;722;26,4;91;;;;;;;;;;;;;
91648;Vert-le-Grand;17,5;6,8;280;17,5;91;;;;;;;;;;;;;
91649;Vert-le-Petit;16,6;6,8;184;16,6;91;;;;;;;;;;;;;
91657;Vigneux-sur-Seine;13,9;6,8;789;13,9;91;;;;;;;;;;;;;
91659;Villabé;15,0;6,8;340;15,0;91;;;;;;;;;;;;;
91661;Villebon-sur-Yvette;18,4;6,8;820;18,4;91;;;;;;;;;;;;;
91665;La Ville-du-Bois;17,4;6,8;416;17,4;91;;;;;;;;;;;;;
91666;Villejust;17,7;6,8;332;17,7;91;;;;;;;;;;;;;
91667;Villemoisson-sur-Orge;19,5;6,8;389;19,5;91;;;;;;;;;;;;;
91685;Villiers-sur-Orge;17,5;6,8;220;17,5;91;;;;;;;;;;;;;
91687;Viry-Châtillon;14,4;6,8;1054;14,4;91;;;;;;;;;;;;;
91689;Wissous;17,8;6,8;584;17,8;91;;;;;;;;;;;;;
91691;Yerres;17,6;6,8;953;17,6;91;;;;;;;;;;;;;
91692;Les Ulis;91;6,8;956;13,7;91;;;;;;;;;;;;;
92002;Antony;92;6,7;2184;21,2;92;;;;;;;;;;;;;
92004;Asni√®res-sur-Seine;92;6,7;3737;20;92;;;;;;;;;;;;;
92007;Bagneux;14,4;6,7;1278;14,4;92;;;;;;;;;;;;;
92009;Bois-Colombes;92;6,7;1066;22,4;92;;;;;;;;;;;;;
92012;Boulogne-Billancourt;92;6,7;8148;24,9;92;;;;;;;;;;;;;
92014;Bourg-la-Reine;22,8;6,7;832;22,8;92;;;;;;;;;;;;;
92019;Ch√¢tenay-Malabry;92;6,7;867;18,4;92;;;;;;;;;;;;;
92020;Châtillon;19,7;6,7;1193;19,7;92;;;;;;;;;;;;;
92022;Chaville;22,4;6,7;733;22,4;92;;;;;;;;;;;;;
92023;Clamart;92;6,7;2316;20,5;92;;;;;;;;;;;;;
92024;Clichy;92;6,7;3230;16;92;;;;;;;;;;;;;
92025;Colombes;92;6,7;3033;18,4;92;;;;;;;;;;;;;
92026;Courbevoie;92;6,7;5082;22,2;92;;;;;;;;;;;;;
92032;Fontenay-aux-Roses;19,2;6,7;730;19,2;92;;;;;;;;;;;;;
92033;Garches;29,5;6,7;820;29,5;92;;;;;;;;;;;;;
92035;La Garenne-Colombes;22,1;6,7;1450;22,1;92;;;;;;;;;;;;;
92036;Gennevilliers;92;6,7;2153;13;92;;;;;;;;;;;;;
92040;Issy-les-Moulineaux;92;6,7;2874;22,5;92;;;;;;;;;;;;;
92044;Levallois-Perret;92;6,7;4572;24,5;92;;;;;;;;;;;;;
92046;Malakoff;17,7;6,7;1367;17,7;92;;;;;;;;;;;;;
92048;Meudon;92;6,7;1631;23;92;;;;;;;;;;;;;
92049;Montrouge;92;6,7;2300;19,6;92;;;;;;;;;;;;;
92050;Nanterre;92;6,7;4206;16,4;92;;;;;;;;;;;;;
92051;Neuilly-sur-Seine;92;6,7;5288;37,8;92;;;;;;;;;;;;;
92060;Le Plessis-Robinson;92;6,7;812;20,1;92;;;;;;;;;;;;;
92062;Puteaux;92;6,7;3708;21,5;92;;;;;;;;;;;;;
92063;Rueil-Malmaison;92;6,7;3486;25,2;92;;;;;;;;;;;;;
92064;Saint-Cloud;92;6,7;1615;30,8;92;;;;;;;;;;;;;
92071;Sceaux;92;6,7;827;26,8;92;;;;;;;;;;;;;
92072;S√®vres;92;6,7;1050;26,1;92;;;;;;;;;;;;;
92073;Suresnes;92;6,7;2368;23,6;92;;;;;;;;;;;;;
92075;Vanves;92;6,7;1085;20,4;92;;;;;;;;;;;;;
92076;Vaucresson;92;6,7;467;33,7;92;;;;;;;;;;;;;
92077;Ville-d'Avray;29,6;6,7;475;29,6;92;;;;;;;;;;;;;
92078;Villeneuve-la-Garenne;92;6,7;826;13,1;92;;;;;;;;;;;;;
93001;Aubervilliers;93;11,2;4085;11,4;93;;;;;;;;;;;;;
93005;Aulnay-sous-Bois;93;11,2;3177;13,5;93;;;;;;;;;;;;;
93006;Bagnolet;93;11,2;1796;14;93;;;;;;;;;;;;;
93007;Le Blanc-Mesnil;93;11,2;1691;12,3;93;;;;;;;;;;;;;
93008;Bobigny;93;11,2;2232;11,3;93;;;;;;;;;;;;;
93010;Bondy;93;11,2;1829;12,8;93;;;;;;;;;;;;;
93013;Le Bourget;93;11,2;706;12,6;93;;;;;;;;;;;;;
93014;Clichy-sous-Bois;93;11,2;960;11,5;93;;;;;;;;;;;;;
93015;Coubron;16,2;11,2;265;16,2;93;;;;;;;;;;;;;
93027;La Courneuve;93;11,2;1591;10,9;93;;;;;;;;;;;;;
93029;Drancy;93;11,2;2269;12,6;93;;;;;;;;;;;;;
93030;Dugny;93;11,2;286;11,9;93;;;;;;;;;;;;;
93031;√âpinay-sur-Seine;93;11,2;1632;12,5;93;;;;;;;;;;;;;
93032;Gagny;93;11,2;1216;15,1;93;;;;;;;;;;;;;
93033;Gournay-sur-Marne;19,2;11,2;364;19,2;93;;;;;;;;;;;;;
93039;L'Île-Saint-Denis;13,1;11,2;414;13,1;93;;;;;;;;;;;;;
93045;Les Lilas;93;11,2;940;16,8;93;;;;;;;;;;;;;
93046;Livry-Gargan;93;11,2;1674;14,3;93;;;;;;;;;;;;;
93047;Montfermeil;13,9;11,2;1462;13,9;93;;;;;;;;;;;;;
93048;Montreuil;93;11,2;6131;15,1;93;;;;;;;;;;;;;
93049;Neuilly-Plaisance;16,6;11,2;918;16,6;93;;;;;;;;;;;;;
93050;Neuilly-sur-Marne;93;11,2;1062;13,9;93;;;;;;;;;;;;;
93051;Noisy-le-Grand;93;11,2;2306;15,2;93;;;;;;;;;;;;;
93053;Noisy-le-Sec;93;11,2;1461;13,1;93;;;;;;;;;;;;;
93055;Pantin;93;11,2;3054;13,6;93;;;;;;;;;;;;;
93057;Les Pavillons-sous-Bois;14,6;11,2;1188;14,6;93;;;;;;;;;;;;;
93059;Pierrefitte-sur-Seine;11,6;11,2;1075;11,6;93;;;;;;;;;;;;;
93061;Le Pré-Saint-Gervais;15,1;11,2;856;15,1;93;;;;;;;;;;;;;
93062;Le Raincy;93;11,2;917;19,1;93;;;;;;;;;;;;;
93063;Romainville;93;11,2;1110;13,9;93;;;;;;;;;;;;;
93064;Rosny-sous-Bois;93;11,2;1584;14,4;93;;;;;;;;;;;;;
93066;Saint-Denis;93;11,2;4502;12,7;93;;;;;;;;;;;;;
93070;Saint-Ouen;93;11,2;3249;14,5;93;;;;;;;;;;;;;
93071;Sevran;93;11,2;1169;12,3;93;;;;;;;;;;;;;
93072;Stains;93;11,2;1170;11,5;93;;;;;;;;;;;;;
93073;Tremblay-en-France;93;11,2;1924;14,6;93;;;;;;;;;;;;;
93074;Vaujours;14,8;11,2;344;14,8;93;;;;;;;;;;;;;
93077;Villemomble;93;11,2;1079;15,6;93;;;;;;;;;;;;;
93078;Villepinte;93;11,2;1348;13,3;93;;;;;;;;;;;;;
93079;Villetaneuse;11,3;11,2;447;11,3;93;;;;;;;;;;;;;
94001;Ablon-sur-Seine;15,2;7,6;264;15,2;93;;;;;;;;;;;;;
94002;Alfortville;94;7,6;1842;15,2;93;;;;;;;;;;;;;
94003;Arcueil;16,5;7,6;868;16,5;93;;;;;;;;;;;;;
94004;Boissy-Saint-Léger;13,9;7,6;768;13,9;93;;;;;;;;;;;;;
94011;Bonneuil-sur-Marne;12,9;7,6;810;12,9;93;;;;;;;;;;;;;
94015;Bry-sur-Marne;20,2;7,6;653;20,2;93;;;;;;;;;;;;;
94016;Cachan;94;7,6;887;17,7;94;;;;;;;;;;;;;
94017;Champigny-sur-Marne;94;7,6;2934;14,7;94;;;;;;;;;;;;;
94018;Charenton-le-Pont;94;7,6;1445;20;94;;;;;;;;;;;;;
94019;Chennevi√®res-sur-Marne;94;7,6;845;15,8;94;;;;;;;;;;;;;
94021;Chevilly-Larue;94;7,6;1193;14,9;94;;;;;;;;;;;;;
94022;Choisy-le-Roi;14,3;7,6;1657;14,3;94;;;;;;;;;;;;;
94028;Cr√©teil;94;7,6;2961;14,4;94;;;;;;;;;;;;;
94033;Fontenay-sous-Bois;94;7,6;2058;18,3;94;;;;;;;;;;;;;
94034;Fresnes;94;7,6;713;16;94;;;;;;;;;;;;;
94037;Gentilly;15,7;7,6;786;15,7;94;;;;;;;;;;;;;
94038;L'Haÿ-les-Roses;17,2;7,6;907;17,2;94;;;;;;;;;;;;;
94041;Ivry-sur-Seine;94;7,6;2840;14,2;94;;;;;;;;;;;;;
94042;Joinville-le-Pont;19,1;7,6;812;19,1;94;;;;;;;;;;;;;
94043;Le Kremlin-Bic√™tre;94;7,6;884;16,2;94;;;;;;;;;;;;;
94044;Limeil-Br√©vannes;94;7,6;616;14,4;94;;;;;;;;;;;;;
94046;Maisons-Alfort;94;7,6;2208;17,2;94;;;;;;;;;;;;;
94047;Mandres-les-Roses;17,4;7,6;341;17,4;94;;;;;;;;;;;;;
94048;Marolles-en-Brie;22,4;7,6;279;22,4;94;;;;;;;;;;;;;
94052;Nogent-sur-Marne;94;7,6;1414;22,1;94;;;;;;;;;;;;;
94053;Noiseau;17,8;7,6;291;17,8;94;;;;;;;;;;;;;
94054;Orly;13,3;7,6;962;13,3;94;;;;;;;;;;;;;
94055;Ormesson-sur-Marne;18,8;7,6;575;18,8;94;;;;;;;;;;;;;
94056;Périgny;18,9;7,6;188;18,9;94;;;;;;;;;;;;;
94058;Le Perreux-sur-Marne;94;7,6;1400;20,1;94;;;;;;;;;;;;;
94059;Le Plessis-Trévise;16,6;7,6;867;16,6;94;;;;;;;;;;;;;
94060;La Queue-en-Brie;15,7;7,6;494;15,7;94;;;;;;;;;;;;;
94065;Rungis;18,3;7,6;980;18,3;94;;;;;;;;;;;;;
94067;Saint-Mandé;23,5;7,6;1091;23,5;94;;;;;;;;;;;;;
94068;Saint-Maur-des-Foss√©s;94;7,6;4730;21,1;94;;;;;;;;;;;;;
94069;Saint-Maurice;19,5;7,6;645;19,5;94;;;;;;;;;;;;;
94070;Santeny;21,3;7,6;315;21,3;94;;;;;;;;;;;;;
94071;Sucy-en-Brie;94;7,6;945;18,2;94;;;;;;;;;;;;;
94073;Thiais;94;7,6;1100;15,8;94;;;;;;;;;;;;;
94074;Valenton;12,1;7,6;520;12,1;94;;;;;;;;;;;;;
94075;Villecresnes;18,0;7,6;521;18,0;94;;;;;;;;;;;;;
94076;Villejuif;14,6;7,6;1639;14,6;94;;;;;;;;;;;;;
94077;Villeneuve-le-Roi;94;7,6;927;13,9;94;;;;;;;;;;;;;
94078;Villeneuve-Saint-Georges;94;7,6;1132;12,1;94;;;;;;;;;;;;;
94079;Villiers-sur-Marne;15,8;7,6;949;15,8;94;;;;;;;;;;;;;
94080;Vincennes;94;7,6;2679;22;94;;;;;;;;;;;;;
94081;Vitry-sur-Seine;94;7,6;3079;13,5;94;;;;;;;;;;;;;
95014;Andilly;20,5;8,8;244;20,5;95;;;;;;;;;;;;;
95018;Argenteuil;95;8,8;4052;14,1;95;;;;;;;;;;;;;
95019;Arnouville;13,6;8,8;713;13,6;95;;;;;;;;;;;;;
95026;Asnières-sur-Oise;17,6;8,8;210;17,6;95;;;;;;;;;;;;;
95039;Auvers-sur-Oise;18,4;8,8;387;18,4;95;;;;;;;;;;;;;
95042;Baillet-en-France;17,7;8,8;225;17,7;95;;;;;;;;;;;;;
95051;Beauchamp;18,4;8,8;555;18,4;95;;;;;;;;;;;;;
95052;Beaumont-sur-Oise;95;8,8;482;13,5;95;;;;;;;;;;;;;
95056;Belloy-en-France;16,4;8,8;174;16,4;95;;;;;;;;;;;;;
95058;Bernes-sur-Oise;13,9;8,8;187;13,9;95;;;;;;;;;;;;;
95060;Bessancourt;16,4;8,8;314;16,4;95;;;;;;;;;;;;;
95063;Bezons;95;8,8;1201;14,5;95;;;;;;;;;;;;;
95091;Bouffémont;16,3;8,8;263;16,3;95;;;;;;;;;;;;;
95116;Bruyères-sur-Oise;14,0;8,8;221;14,0;95;;;;;;;;;;;;;
95120;Butry-sur-Oise;17,6;8,8;188;17,6;95;;;;;;;;;;;;;
95127;Cergy;95;8,8;2183;14,2;95;;;;;;;;;;;;;
95134;Champagne-sur-Oise;16,6;8,8;288;16,6;95;;;;;;;;;;;;;
95142;Chars;14,7;8,8;182;14,7;95;;;;;;;;;;;;;
95149;Chaumontel;17,9;8,8;223;17,9;95;;;;;;;;;;;;;
95176;Cormeilles-en-Parisis;17,9;8,8;823;17,9;95;;;;;;;;;;;;;
95183;Courdimanche;17,3;8,8;228;17,3;95;;;;;;;;;;;;;
95197;Deuil-la-Barre;95;8,8;770;16,6;95;;;;;;;;;;;;;
95199;Domont;95;8,8;701;15,7;95;;;;;;;;;;;;;
95203;Eaubonne;95;8,8;942;17,8;95;;;;;;;;;;;;;
95205;Écouen;15,4;8,8;311;15,4;95;;;;;;;;;;;;;
95210;Enghien-les-Bains;95;8,8;1054;20,5;95;;;;;;;;;;;;;
95211;Ennery;17,2;8,8;303;17,2;95;;;;;;;;;;;;;
95218;Éragny;15,7;8,8;632;15,7;95;;;;;;;;;;;;;
95219;Ermont;95;8,8;815;16,6;95;;;;;;;;;;;;;
95229;Ézanville;15,5;8,8;371;15,5;95;;;;;;;;;;;;;
95250;Fosses;95;8,8;339;14,9;95;;;;;;;;;;;;;
95252;Franconville;95;8,8;952;15,4;95;;;;;;;;;;;;;
95256;Frépillon;17,3;8,8;203;17,3;95;;;;;;;;;;;;;
95257;La Frette-sur-Seine;19,9;8,8;249;19,9;95;;;;;;;;;;;;;
95268;Garges-l√®s-Gonesse;95;8,8;1513;11,2;95;;;;;;;;;;;;;
95277;Gonesse;95;8,8;1110;12,5;95;;;;;;;;;;;;;
95280;Goussainville;95;8,8;1054;12,4;95;;;;;;;;;;;;;
95288;Groslay;17,3;8,8;390;17,3;95;;;;;;;;;;;;;
95306;Herblay;95;8,8;1145;17,6;95;;;;;;;;;;;;;
95313;L' Isle-Adam;95;8,8;650;19,3;95;;;;;;;;;;;;;
95323;Jouy-le-Moutier;95;8,8;467;15,6;95;;;;;;;;;;;;;
95351;Louvres;14,2;8,8;376;14,2;95;;;;;;;;;;;;;
95352;Luzarches;95;8,8;288;18,2;95;;;;;;;;;;;;;
95355;Magny-en-Vexin;14,5;8,8;425;14,5;95;;;;;;;;;;;;;
95369;Margency;20,5;8,8;204;20,5;95;;;;;;;;;;;;;
95370;Marines;16,3;8,8;298;16,3;95;;;;;;;;;;;;;
95371;Marly-la-Ville;16,0;8,8;256;16,0;95;;;;;;;;;;;;;
95388;Menucourt;16,0;8,8;209;16,0;95;;;;;;;;;;;;;
95392;Mériel;17,3;8,8;273;17,3;95;;;;;;;;;;;;;
95394;Méry-sur-Oise;16,4;8,8;450;16,4;95;;;;;;;;;;;;;
95424;Montigny-lès-Cormeilles;14,6;8,8;655;14,6;95;;;;;;;;;;;;;
95426;Montlignon;22,3;8,8;207;22,3;95;;;;;;;;;;;;;
95427;Montmagny;14,3;8,8;555;14,3;95;;;;;;;;;;;;;
95428;Montmorency;95;8,8;791;19,8;95;;;;;;;;;;;;;
95430;Montsoult;17,6;8,8;259;17,6;95;;;;;;;;;;;;;
95450;Neuville-sur-Oise;20,2;8,8;204;20,2;95;;;;;;;;;;;;;
95476;Osny;95;8,8;637;16,4;95;;;;;;;;;;;;;
95480;Parmain;19,3;8,8;259;19,3;95;;;;;;;;;;;;;
95487;Persan;12,5;8,8;422;12,5;95;;;;;;;;;;;;;
95488;Pierrelaye;14,5;8,8;566;14,5;95;;;;;;;;;;;;;
95491;Le Plessis-Bouchard;18,4;8,8;381;18,4;95;;;;;;;;;;;;;
95500;Pontoise;95;8,8;1332;14,7;95;;;;;;;;;;;;;
95504;Presles;18,4;8,8;242;18,4;95;;;;;;;;;;;;;
95509;Puiseux-en-France;16,0;8,8;202;16,0;95;;;;;;;;;;;;;
95527;Roissy-en-France;15,3;8,8;748;15,3;95;;;;;;;;;;;;;
95539;Saint-Brice-sous-Forêt;15,7;8,8;535;15,7;95;;;;;;;;;;;;;
95555;Saint-Gratien;16,6;8,8;728;16,6;95;;;;;;;;;;;;;
95563;Saint-Leu-la-Forêt;18,6;8,8;791;18,6;95;;;;;;;;;;;;;
95566;Saint-Martin-du-Tertre;14,9;8,8;182;14,9;95;;;;;;;;;;;;;
95572;Saint-Ouen-l'Aum√¥ne;95;8,8;1594;13,9;95;;;;;;;;;;;;;
95574;Saint-Prix;21,3;8,8;349;21,3;95;;;;;;;;;;;;;
95580;Saint-Witz;95;8,8;241;24;95;;;;;;;;;;;;;
95582;Sannois;16,5;8,8;971;16,5;95;;;;;;;;;;;;;
95585;Sarcelles;95;8,8;2345;11,7;95;;;;;;;;;;;;;
95598;Soisy-sous-Montmorency;17,4;8,8;661;17,4;95;;;;;;;;;;;;;
95604;Survilliers;14,1;8,8;211;14,1;95;;;;;;;;;;;;;
95607;Taverny;95;8,8;920;16,2;95;;;;;;;;;;;;;
95612;Le Thillay;13,7;8,8;444;13,7;95;;;;;;;;;;;;;
95637;Vaur√©al;95;8,8;391;16,3;95;;;;;;;;;;;;;
95641;Vémars;16,3;8,8;169;16,3;95;;;;;;;;;;;;;
95652;Viarmes;16,5;8,8;321;16,5;95;;;;;;;;;;;;;
95680;Villiers-le-Bel;11,4;8,8;710;11,4;95;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
