Code;Nom de la commune;Pas ou peu dipl�m�s ;p sans;CAP ou BEP;p bep;BAC;p bac;Universit�;p uni;note
77480;Valence-en-Brie;186;29;183;29;115;18;150;24;1,37
94074;Valenton;3750;40;2239;24;1709;18;1782;19;1,17
95627;Vallangoujard;83;19;111;25;79;18;165;38;1,75
95628;Valmondois;160;18;214;24;149;17;377;42;1,84
91629;Valpuiseaux;123;28;118;27;83;19;121;27;1,46
92075;Vanves;3412;17;2221;11;3077;16;11032;56;2,11
77481;Vanvillé;37;28;46;34;27;20;24;18;1,28
91631;Varennes-Jarcy;287;17;335;20;317;19;710;43;1,87
77482;Varennes-sur-Seine;1006;40;739;30;353;14;397;16;1,06
77483;Varreddes;380;27;375;27;261;19;391;28;1,49
77484;Vaucourtois;20;12;50;30;34;20;64;38;1,84
92076;Vaucresson;757;13;480;8;779;13;3960;66;2,32
95633;Vaudherland;20;34;23;39;10;17;6;10;1,03
77486;Vaudoy-en-Brie;163;27;165;27;136;22;144;24;1,43
91634;Vaugrigneuse;200;21;198;21;153;16;401;42;1,79
91635;Vauhallan;264;18;222;15;210;14;804;54;2,05
93074;Vaujours;1374;29;1178;25;984;21;1264;26;1,45
95637;Vauréal;2053;19;2149;20;2221;21;4261;40;1,82
77487;Vaux-le-Pénil;1903;24;1861;24;1427;18;2624;34;1,62
77489;Vaux-sur-Lunain;91;48;41;22;25;13;32;17;0,99
78638;Vaux-sur-Seine;660;19;783;23;570;17;1422;41;1,8
91639;Vayres-sur-Essonne;139;21;201;31;120;18;191;29;1,54
77490;Vendrest;182;34;174;33;98;18;80;15;1,14
77492;Verdelot;176;34;154;29;81;15;112;21;1,22
77493;Verneuil-l'Étang;630;29;660;30;440;20;478;22;1,36
78642;Verneuil-sur-Seine;2181;20;1961;18;1791;17;4864;45;1,87
77494;Vernou-la-Celle-sur-Seine;409;21;590;30;404;21;548;28;1,56
78643;Vernouillet;1734;26;1077;16;985;15;2931;44;1,78
91645;Verrières-le-Buisson;1753;16;1337;12;1443;13;6360;58;2,12
78646;Versailles;8099;14;5689;10;8195;14;36502;62;2,24
78647;Vert;145;24;155;25;109;18;202;33;1,6
91648;Vert-le-Grand;290;17;420;24;346;20;671;39;1,81
91649;Vert-le-Petit;380;20;534;28;355;19;646;34;1,68
77495;Vert-Saint-Denis;1191;23;1270;25;1039;20;1600;31;1,58
95652;Viarmes;1039;27;961;25;656;17;1166;31;1,52
78653;Vicq;59;22;39;15;49;18;119;45;1,86
91654;Videlles;104;22;126;27;88;19;155;33;1,64
78655;Vieille-Église-en-Yvelines;87;16;97;18;87;16;266;50;2
95656;Vienne-en-Arthies;69;21;83;25;74;23;101;31;1,64
77496;Vieux-Champagne;33;24;45;33;27;20;32;23;1,42
77498;Vignely;27;14;66;33;37;19;70;35;1,76
91657;Vigneux-sur-Seine;7022;34;5103;24;3578;17;5126;25;1,33
95658;Vigny;115;15;179;23;141;18;331;43;1,88
91659;Villabé;889;25;932;26;776;22;1001;28;1,54
95660;Villaines-sous-Bois;91;16;177;32;96;17;192;35;1,71
92077;Ville-d'Avray;1007;13;636;8;1046;14;4978;65;2,31
77516;Ville-Saint-Jacques;110;19;168;30;105;19;182;32;1,64
77500;Villebéon;91;26;112;32;51;15;96;27;1,43
91661;Villebon-sur-Yvette;1274;17;1295;17;1214;16;3659;49;1,96
77501;Villecerf;111;21;150;28;99;19;172;32;1,62
91662;Villeconin;87;16;129;24;110;21;203;38;1,8
94075;Villecresnes;2104;30;1557;22;1385;19;2061;29;1,47
94076;Villejuif;11749;31;6678;17;6325;16;13727;36;1,57
91666;Villejust;395;24;380;23;292;18;562;34;1,61
77504;Villemaréchal;164;21;261;33;151;19;223;28;1,55
77505;Villemareuil;67;23;81;28;71;25;68;24;1,5
77506;Villemer;108;20;167;31;105;20;152;29;1,58
91667;Villemoisson-sur-Orge;1022;20;913;18;872;17;2288;45;1,87
93077;Villemomble;5845;28;4108;20;3829;18;7218;34;1,58
77507;Villenauxe-la-Petite;77;24;113;35;72;23;58;18;1,35
92078;Villeneuve-la-Garenne;6364;40;3331;21;2898;18;3442;21;1,2
